Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
737.68,14.41,6.31,-23.09
740.64,14.49,6.41,-23.09
743.87,14.53,6.49,-23.09
747.57,14.53,6.53,-23.09
751.53,14.46,6.53,-23.09
755.04,14.4,6.53,-23.16
759.68,14.36,6.53,-23.22
762.77,14.44,6.53,-23.26
767.32,14.56,6.61,-23.26
773.19,14.71,6.73,-23.26
778.55,14.85,6.88,-23.26
783.04,14.95,7.02,-23.26
786.67,15.03,7.12,-23.26
790.64,15.08,7.2,-23.26
794.83,15.12,7.25,-23.26
798.93,15.14,7.29,-23.26
802.89,15.15,7.31,-23.26
806.75,15.14,7.32,-23.26
810.34,15.13,7.32,-23.27
815.87,15.17,7.32,-23.28
822.14,15.2,7.36,-23.28
826.97,15.2,7.39,-23.28
831.55,15.19,7.39,-23.28
835.11,15.17,7.39,-23.29
838.11,15.13,7.39,-23.31
841.54,15.09,7.39,-23.35
845.22,15.03,7.39,-23.39
848.91,15.02,7.39,-23.45
850.65,15.06,7.39,-23.46
852.81,15.08,7.43,-23.46
855.2,15.08,7.45,-23.46
857.98,15.07,7.45,-23.46
860.77,15.06,7.45,-23.47
863.37,15.05,7.45,-23.48
865.79,15.05,7.45,-23.49
868.3,15.04,7.45,-23.49
870.59,15.04,7.45,-23.5
872.96,15.03,7.45,-23.5
875.24,15.02,7.45,-23.51
877.14,15.02,7.45,-23.52
879.04,15.03,7.45,-23.52
880.86,15.03,7.46,-23.52
883.75,15.02,7.46,-23.52
885.43,15.01,7.46,-23.53
887.1,14.99,7.46,-23.54
889.3,14.99,7.46,-23.56
892.52,14.9,7.46,-23.56
894.56,14.83,7.46,-23.65
895.74,14.8,7.46,-23.72
898.04,14.87,7.46,-23.75
900.8,14.91,7.53,-23.75
904.25,14.93,7.57,-23.75
906.41,14.93,7.59,-23.75
908.61,14.92,7.59,-23.75
910.84,14.9,7.59,-23.76
913.35,14.87,7.59,-23.78
915.95,14.84,7.59,-23.81
918.8,14.79,7.59,-23.84
921.99,14.73,7.59,-23.89
925.9,14.65,7.59,-23.95
930.28,14.55,7.59,-24.03
934.85,14.46,7.59,-24.13
939.9,14.36,7.59,-24.22
943.48,14.3,7.59,-24.32
947.48,14.24,7.59,-24.38
951.04,14.2,7.59,-24.44
954.36,14.17,7.59,-24.48
957.19,14.15,7.59,-24.51
959.09,14.16,7.59,-24.53
963.31,14.26,7.6,-24.53
966.13,14.36,7.7,-24.53
968.63,14.45,7.8,-24.53
971.1,14.54,7.89,-24.53
973.3,14.62,7.98,-24.53
975.33,14.69,8.06,-24.53
977.08,14.75,8.13,-24.53
980.7,14.86,8.19,-24.53
983.87,14.93,8.3,-24.53
987.25,14.99,8.37,-24.53
990.29,15.04,8.43,-24.53
993.1,15.08,8.48,-24.53
996.26,15.13,8.52,-24.53
998.66,15.16,8.57,-24.53
1000.25,15.17,8.6,-24.53
1002.87,15.18,8.61,-24.53
1004.75,15.19,8.62,-24.53
1007.27,15.21,8.63,-24.53
1010.27,15.24,8.65,-24.53
1013.5,15.29,8.68,-24.53
1016.59,15.34,8.73,-24.53
1019.63,15.38,8.78,-24.53
1023.27,15.42,8.82,-24.53
1026.98,15.47,8.86,-24.53
1030.68,15.52,8.91,-24.53
1034.25,15.58,8.96,-24.53
1037.75,15.64,9.02,-24.53
1041.4,15.72,9.08,-24.53
1045.03,15.79,9.16,-24.53
1048.66,15.77,9.23,-24.53
1052.17,15.73,9.23,-24.55
1055.63,15.71,9.23,-24.59
1059.14,15.69,9.23,-24.61
1060.82,15.67,9.23,-24.63
1063.65,15.61,9.23,-24.65
1067.48,15.52,9.23,-24.71
1070.99,15.45,9.23,-24.8
1074.4,15.41,9.23,-24.87
1077.89,15.35,9.23,-24.91
1081.29,15.27,9.23,-24.97
1084.75,15.19,9.23,-25.05
1088.37,15.09,9.23,-25.13
1092.28,15.01,9.23,-25.23
1096.34,14.93,9.23,-25.31
1100.14,14.81,9.23,-25.39
1103.79,14.69,9.23,-25.51
1107.31,14.52,9.23,-25.63
1110.44,14.25,9.23,-25.8
1114.47,13.82,9.23,-26.07
